lat,lon,depth,Jfix
43.42,-8.44,70,0.006059
33.501,-19.9983,5,0.006059
29.9167,34.4667,150,0.0060955
22.75,-158,125,0.006132
-21.006,-75.0562,175,0.006132
-24.9236,-28.9962,120,0.0061685
5.9821,-29.003,60,0.006205
21.9259,-29.0011,100,0.006205
-20.4685,-70.9619,20,0.0062415
-20.4685,-70.9619,90,0.0062415
0.08,-34.99,150,0.0062415
40.13,6.77,1000,0.0063145
22.75,-158,125,0.006351
25.6468,-29.0022,5,0.0063875
33.15,34.142,20,0.006424
-19.6804,-29.1247,140,0.0065335
-2,-85.833,400,0.00657
-57,-170,7.66,0.00657
34.748,32.951,82,0.00657
29.2465,-15.93,5,0.006716
-15.3902,-29.003,5,0.006789
-10.6835,157.7087,99,0.0068255
-36.5,-73.07,20,0.0068255
22.75,-158,125,0.006935
-36,-72.53,10,0.0069715
7.3243,-25.9968,57,0.0069715
26.6383,-17.4893,5,0.007008
33.8,27,100,0.0070445
18.71,107.765,62,0.0070445
25.9996,-21.3789,5,0.007081
19.6503,-54.6094,5,0.007081
13.92,-35.28,150,0.007081
-9.1878,162.6877,150,0.0071175
0.08,-34.99,5,0.007154
-31.8221,-91.4432,100.531,0.0071905
-10.0143,160.3578,150,0.0071905
20.6996,-18.5699,1500,0.007227
34.67,22.62,1000,0.007227
19.6773,-66.0038,80,0.0073
76,-73,30.55,0.0073
0,-23,20,0.0073
39,12.5,10,0.0073
35.3,20.8,50,0.0073
20.5761,-110.026,150,0.0073
19.6773,-66.0038,160,0.0073365
-19.9925,88.0012,159.5263,0.007373
-9.1255,-30.1869,148,0.0074095
43.42,-8.44,40,0.0074095
19.6692,-61.0781,100,0.007446
22.75,-158,100,0.0075555
26.8373,-56.0611,100,0.0075555
24.673,125.5688,71,0.007592
22.75,-158,100,0.0076285
1.666,-85.833,499.8,0.007665
-4.6672,-28.9955,110,0.007811
25.9977,-25.7346,70,0.0078475
12,135,1,0.007884
7.3961,-29.0037,70,0.0079205
19.6631,-57.7934,110,0.007957
-4,-85.832,149.6,0.00803
-19.4982,165.0008,70.68,0.00803
5.6,-45.6,150,0.00803
-12.3493,-29.0203,5,0.0080665
22.75,-158,100,0.0080665
25.1601,-53.4018,145,0.008103
26.6383,-17.4893,40,0.008103
-19.9882,-175.667,136.205,0.0081395
26.8373,-56.0611,5,0.0082125
23,-21.82,4000,0.008249
29.1828,-19.8682,90,0.008249
-35.5,-70.3,1,0.0082855
19.8994,-26.0004,300,0.0082855
-5.003,81.002,124,0.008395
-61.5,-170,7.66,0.008395
19.667,-46.1509,140,0.0084315
28.8742,-14.1033,5,0.0085045
39.52,11.82,2000,0.0085045
-38.6362,150.4156,62,0.008541
19.6631,-57.7934,175,0.0085775
32.5833,-158,10,0.008614
30.1583,-64.4,200,0.0087235
-23.5624,-29.2454,70,0.0087235
27.5,-111.33,28,0.00876
26.38,-110.73,28,0.00876
-20,-90,10,0.00876
-20,-90,130,0.00876
10.0003,88.2469,142,0.00876
41.6059,-9.036,5,0.008833
-0.3343,-28.997,5,0.008906
32.95,34.75,300,0.008906
21.4689,-23.4542,51,0.008906
17.4274,-59.8286,60,0.008906
-19.4982,-172.8077,127.192,0.0090155
29.3,-36.7,57,0.009052
-29.0938,-33.5186,5,0.0090885
34.5,26,10,0.009125
43.42,-8.44,1,0.009125
22.75,-158,100,0.0091615
22.75,-158,100,0.009198
22.75,-158,125,0.0092345
17.5004,-25.2601,750,0.0093075
43.42,-8.44,20,0.009344
-20.6906,-29.244,5,0.0093805
41.5002,-12.2618,5,0.0094535
22.75,-158,125,0.0095265
-29.103,-29.0018,100,0.009563
-33.0381,-28.956,5,0.0097455
11.79,-43.45,200,0.0098185
23.5866,-50.9101,200,0.009855
22.75,-158,100,0.009855
41.4443,-19.2638,5,0.009855
1.666,-85.833,280.5,0.009855
-2,-85.833,500,0.009855
-18.2417,158.8953,5,0.0100375
-20.3208,161.7333,140,0.010074
27.1681,-64.8632,120,0.0101835
22.75,-158,125,0.0101835
30.7389,-10.6514,5,0.01022
34.06,28.59,2000,0.0102565
-3.03,-27.3262,74,0.0103295
-13.0089,-81.8656,150,0.0104025
-13.9333,-81.0036,47,0.0104025
-13.9333,-81.0036,248,0.0104025
-22.9789,-36.9527,124,0.010439
-37.5,-77.81,20,0.010439
19.8994,-26.0004,750,0.010439
19.681,-63.6701,5,0.010512
19.6773,-66.0038,5,0.010512
23.841,-159.239,75,0.0105485
-8.5794,-28.9999,120,0.0105485
22.8677,-44.5757,70,0.0106215
8.1414,-90.3625,44,0.010658
22.75,-158,100,0.0106945
-7.999,152.5005,25.1,0.010731
11.79,-43.45,75,0.010731
5.6,-45.6,30,0.010731
-36,-73.12,1,0.010731
-15.8264,-33.4078,153,0.0108405
33.233,33,20,0.010877
37,-1.5,10,0.01095
39,5.5,50,0.01095
35.3,20.8,10,0.01095
22.75,-158,100,0.01095
30.4136,123.1806,1,0.01095
29.418,122.498,11.5,0.01095
29.1818,-24.4149,5,0.01095
38.8943,-73.3248,32.4,0.01095
38.8943,-73.3248,32.4,0.01095
24.9956,-154.6825,1,0.01095
25.9977,-25.7346,5,0.0109865
-9.1255,-30.1869,51,0.0109865
24.9956,-154.6825,25,0.0109865
-4.9398,153.6012,151,0.011023
23.5003,-157.0014,25,0.011096
22.75,-158,100,0.0111325
15.9119,-124.4942,55,0.0112055
-9.1255,-30.1869,87,0.0112785
19.6503,-54.6094,100,0.0112785
14.1721,-71.6901,6,0.011315
14.1721,-71.6901,34,0.011315
-2,-85.833,4.3,0.011315
-6.19,-81.14,200.5,0.011315
14.5014,-26.0322,65,0.011315
19.681,-63.6701,60,0.0114245
25.6468,-29.0022,50,0.0115705
-12.3493,-29.0203,40,0.011607
33.0917,-158,10,0.0116435
19.6692,-61.0781,60,0.0116435
11.996,-108.0603,25,0.0116435
1.979,89.504,1,0.01168
-29.103,-29.0018,60,0.01168
-7.166,149.9987,151.4,0.0117165
-17.3758,155.8,50,0.0117895
33.233,33,80,0.0117895
17.5001,-23.0313,1500,0.011826
-13.25,0,69.9476,0.0118625
29.1827,-28.9384,5,0.0120085
28.4996,-58.8374,160,0.012045
10.0003,88.2469,21,0.012045
10.0003,88.2469,42,0.012045
19.667,-46.1509,200,0.012118
-33.0381,-28.956,40,0.0121545
-21.371,172.117,119.235,0.0121545
-30.2569,-2.4425,5,0.012191
22.75,-158,125,0.012191
34.748,32.951,5,0.0123005
22.75,-158,100,0.012337
-30.2569,-2.4425,105,0.0123735
0,-85.833,450.9,0.01241
22.75,-158,125,0.0124465
-17.0669,152.2822,60,0.0124465
-39.2315,135.1865,69,0.0125195
21.8006,-58.0251,165,0.0125195
-25.4155,-30.0884,120,0.012556
22.75,-158,125,0.012556
22.75,-158,125,0.0125925
22.75,-158,100,0.012629
32.949,34.748,150,0.012775
10.0003,88.2469,71,0.012775
26.1094,-35.2673,150,0.0128115
17.5004,-25.2601,1500,0.0129575
34.9935,-19.9655,5,0.0129575
-38.6362,150.4156,47,0.0129575
22.75,-158,125,0.0130305
22.75,-158,125,0.0130305
-7.999,-85.832,350,0.01314
2.363,91.847,115,0.01314
-24.9236,-28.9962,5,0.0131765
29.1818,-24.4149,50,0.0131765
17.7,110.1747,100,0.0131765
10.0871,-99.2498,35,0.0131765
19.6682,-48.8725,150,0.013213
23.5003,-157.0014,50,0.0132495
-29.8104,82.624,95,0.0132495
-16.3994,154.3181,140,0.0132495
13.7779,-115.7674,25,0.0132495
14.1721,-71.6901,105,0.0132495
19.6503,-54.6094,80,0.013286
22.75,-158,125,0.013286
21.0664,-150.3526,100,0.0133225
41.5005,-15.2924,5,0.0133225
-13.9998,162.9998,3.9,0.013359
22.75,-158,100,0.013359
0.08,-34.99,50,0.0133955
35.48,29.512,100,0.013505
10.0003,88.2469,1,0.013505
22.1,-157.03,100,0.013505
-21.006,-75.0562,275,0.013505
-16.7494,-85.4857,60,0.013505
17.5,-20.8003,750,0.0135415
-16.5796,-28.996,5,0.0136145
43.42,-8.44,20,0.013651
38.5231,-73.2317,62.2,0.013651
38.5231,-73.2317,62.2,0.013651
23.5003,-157.0014,100,0.0136875
22.75,-158,125,0.0137605
37.9803,-20.006,5,0.0137605
32.0843,-17.263,5,0.0137605
19.6626,-51.7176,165,0.013797
25.1601,-53.4018,60,0.013797
23.0001,-19.31,750,0.0138335
43.42,-8.44,70,0.0139065
23.5003,-157.0014,1,0.0139065
18.0451,-133.2619,150,0.013943
21.5002,-157.0028,25,0.013943
-15.9982,162.9983,6.3,0.0139795
22.8677,-44.5757,5,0.014016
31.0003,-10.0131,5,0.014089
20.4422,-45.8806,110,0.0141255
34.12,34.79,1000,0.014162
19.6682,-48.8725,80,0.0141985
-28.6267,-11.8082,135,0.0141985
1.666,-85.833,399.1,0.014235
-9.1255,-30.1869,5,0.0143445
22.75,-158,100,0.014381
24.9956,-154.6825,50,0.014381
22.75,-158,125,0.014454
33.8,27,20,0.0145635
43.42,-8.44,20,0.0145635
19.279,-138.9656,57,0.0146
31.4,-139.2,40,0.0146
30.4018,-140.2041,20,0.0146
71.3,-132.5,3.4,0.0146
32.95,34.75,1,0.0146
32.95,34.75,100,0.0146
-1.333,-23.0026,80,0.0146
-17.165,-83.581,500.3,0.0146
39,12.5,50,0.0146
39,12.5,100,0.0146
36.5,28,50,0.0146
18.082,-109.974,50,0.0146
29.418,122.498,5.8,0.0146
-21.0275,172.1775,109,0.0146365
33.15,34.142,160,0.014819
-3.03,-27.3262,46,0.014892
24.9956,-154.6825,100,0.0149285
-30.3327,103.3085,101,0.014965
-30.2569,-2.4425,65,0.014965
21.5002,-157.0028,100,0.0150015
43.42,-8.44,1,0.015038
-13.9998,162.9998,101.4,0.0150745
41.5005,-10.5791,5,0.015111
25.1601,-53.4018,130,0.0152205
26.8373,-56.0611,60,0.0152935
-17.3758,155.8,100,0.0152935
13.7779,-115.7674,42,0.0153665
-8.5794,-28.9999,5,0.015403
-39.2315,135.1865,2,0.0154395
20.4422,-45.8806,200,0.0154395
41.3309,-9.5709,5,0.0154395
41.2898,-9.5994,5,0.015476
10.0871,-99.2498,5,0.015476
-20.3208,161.7333,65,0.0155125
22.75,-158,125,0.015549
32.95,34.75,1,0.015549
22.75,-158,75,0.0155855
22.75,-158,125,0.0155855
23.5866,-50.9101,150,0.0155855
17.5001,-23.0313,300,0.015768
21.22,-18.8355,5,0.015841
-19.9993,-99.9948,1,0.015914
-18.6182,162.1162,105.344,0.01606
37.87,-123.06,40,0.016133
-28.6267,-11.8082,77,0.016133
23.5866,-50.9101,60,0.016206
-10.9988,162.999,100.2,0.0162425
38.5231,-73.2317,75.3,0.016279
38.5231,-73.2317,75.3,0.016279
-13.9998,162.9998,150.4,0.016279
-39.2315,135.1865,65,0.016279
21.5002,-157.0028,50,0.0163155
-30.3327,103.3085,71,0.016352
22.75,-158,100,0.016352
17.5001,-23.0313,750,0.016352
22.75,-158,125,0.0163885
22.75,-158,100,0.0163885
-11.999,-85.834,300,0.016425
22.75,-158,125,0.0165345
21.5002,-157.0028,1,0.0165345
32.0843,-17.263,55,0.0166075
15.9119,-124.4942,33,0.016644
41.4988,-9.3236,5,0.016644
-4.9052,152.8702,149,0.016644
-62.5,-170,7.66,0.01679
22.8677,-44.5757,43,0.0168265
-15.3902,-29.003,70,0.016863
21.8006,-58.0251,200,0.016863
-26.0129,-113.9901,171.436,0.0168995
43.42,-8.44,1,0.016936
19.6626,-51.7176,200,0.017009
-31.0973,110.2387,92,0.0170455
-30.2569,-2.4425,40,0.0170455
-3.03,-27.3262,28,0.017228
27,-111.42,21,0.01752
-20,-100,80,0.01752
-20,-100,120,0.01752
-10,-100,6,0.01752
-10,-100,60,0.01752
-4,-85.832,450.1,0.01752
-2.001,82.002,124,0.01752
9.75,-20.65,50,0.01752
29.9167,34.4667,50,0.0175565
-3.03,-27.3262,6,0.0176295
-29.6494,92.9858,37,0.0176295
21.8006,-58.0251,200,0.0177755
11.996,-108.0603,65,0.0177755
-18.8061,152.2872,200,0.017812
22.75,-158,100,0.017958
-27.9788,63.2477,123,0.017958
36.57,-158,10,0.017958
22.75,-158,125,0.0180675
10.0871,-99.2498,19,0.018104
22.75,-158,100,0.018104
20.6996,-18.5699,300,0.018104
22.75,-158,125,0.0181405
41.5013,-17.1755,5,0.0181405
7.3243,-25.9968,41,0.018177
32.95,34.75,50,0.01825
32.95,34.75,250,0.01825
-3.4989,-23.0037,55,0.01825
-0.6624,-10.0004,60,0.01825
-17.166,-83.583,125,0.01825
39,5.5,10,0.01825
39,5.5,100,0.01825
2.363,91.847,58,0.01825
33.201,122.612,1,0.01825
30.522,123.034,9.9,0.01825
30.4136,123.1806,11.5,0.01825
18,115.5,45,0.01825
-19.6804,-29.1247,5,0.0182865
-29.6494,92.9858,63,0.018323
-20.6906,-29.244,80,0.0183595
22.75,-158,125,0.0184325
29.1828,-19.8682,50,0.018615
-4,-85.832,499.7,0.018615
19.279,-138.9656,6,0.018615
-29.6494,92.9858,121,0.0186515
-25.4155,-30.0884,63,0.0187245
25.1601,-53.4018,200,0.0187245
-29.0938,-33.5186,60,0.018761
17.83,-20.8915,11,0.018907
-16.2006,-76.6002,350,0.0190165
-19,164.9,800,0.019053
-19,164.9,800,0.019053
23.33,-19.9927,3,0.0190895
-29.9169,-98.8708,100.364,0.0190895
29.8483,-19.1881,5,0.0192355
13.7779,-115.7674,5,0.0193085
19.6682,-48.8725,200,0.019418
-17.0669,152.2822,150,0.019491
10.0871,-99.2498,45,0.019491
22.75,-158,75,0.0195275
20.4422,-45.8806,200,0.0196735
40.412,-67.5805,39.8,0.0197465
40.412,-67.5805,39.8,0.0197465
-18.8061,152.2872,140,0.019783
-20.9889,163.1125,140,0.019783
-18.63,162.12,800,0.019856
35.05,-20.8471,3,0.0200385
22.75,-158,100,0.0200385
37,-1.5,100,0.020075
21.0664,-150.3526,80,0.0201115
28.8744,-26.951,49,0.020148
35.467,28.2,20,0.020148
29.9167,34.4833,20.046,0.020148
-7.999,152.5005,50.1,0.0201845
29.5473,-17.5559,5,0.0201845
28.5648,-64.6316,300,0.02044
-16.2006,-76.6002,250,0.02044
-20.4543,-178.5073,133.343,0.02044
-64,-170.1,7.66,0.02044
22.75,-158,125,0.02044
-37.358,124.8549,58,0.0205495
20.0041,-52.6323,130,0.0206225
-22.0008,170.0002,70.5,0.0206955
-32.3035,-87.4258,59.842,0.0206955
31.0064,-11.3081,5,0.020805
-15.916,-85.95,400,0.020805
19.667,-46.1509,60,0.020805
-27.9788,63.2477,75,0.0209145
-26.9246,-21.4154,125,0.0209145
27.1681,-64.8632,160,0.020951
